image_id,street,citi,n_citi,bed,bath,sqft,price
0,1317 Van Buren Avenue,"Salton City, CA",317,3,2,1560,201900
1,124 C Street W,"Brawley, CA",48,3,2,713,228500
2,2304 Clark Road,"Imperial, CA",152,3,1,800,273950
3,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000
4,2207 R Carrillo Court,"Calexico, CA",55,4,3,2547,385100
5,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000
6,1100 CAMILIA Street,"Calexico, CA",55,4,3,2769,415000
7,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000
8,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000
9,2306 Lark Court,"Salton City, CA",317,4,5.1,3932,690000
10,38833 Gorman Post Road,"Gorman, CA",129,3,2.1,4044,1350000
11,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000
12,818 155th Street W,"Rosamond, CA",312,2,2,2466,1488000
13,12869 Sierra Way,"Kernville, CA",164,3,2,2686,995000
14,230 Gaskell Road,"Rosamond, CA",312,1,1,1048,2000000
15,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000
16,11265 Steinhoff Road,"Frazier Park, CA",122,3,3.1,4597,1550000
17,12471 Boy Scout Camp Road,"Frazier Park, CA",122,8,3.1,4236,1850000
18,0 Oak Creek rd,"Tehachapi, CA",367,4,1.1,1980,1995000
19,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950
20,632 Grove Street,"Arvin, CA",20,4,2,1573,205000
21,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000
22,6005 N charmain,"Bakersfield, CA",24,3,2,1087,195000
23,3405 San Carlos,"Frazier Park, CA",122,3,2,1400,229000
24,19800 Nonie Court,"California City, CA",57,3,2,1533,229000
25,11001 Meacham Road,"Bakersfield, CA",24,2,1,966,239900
26,3933 Encino,"Frazier Park, CA",122,3,2.1,1760,235000
27,347 Cypress Street,"Bakersfield, CA",24,3,2,1478,239900
28,3305 Reeder Avenue,"Bakersfield, CA",24,4,3,1876,240000
29,2001 WILLIAM F. HALSEY Avenue,"Bakersfield, CA",24,3,2,1820,239990
30,1835 Kavalier Ct,"Bakersfield, CA",24,3,2,1873,219000
31,3409 Glendower Street,"Rosamond, CA",312,3,2,1265,220000
32,2013 College Drive,"Delano, CA",99,3,1,1364,199500
33,8308 Ailanthus Court,"Bakersfield, CA",24,3,2,1004,224990
34,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000
35,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000
36,2131 OAK Street,"Rosamond, CA",312,3,2,1504,225000
37,608 Poinsettia Avenue,"Rosamond, CA",312,3,2,1425,255000
38,21413 Yerba Boulevard,"California City, CA",57,5,3,2190,234900
39,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000
40,9224 Evelyn Avenue,"California City, CA",57,3,2,1410,198000
41,2504 Lebec Oaks Road,"Lebec, CA",196,3,2,1152,199900
42,16521 Mil Potrero,"Pine Mountain Club, CA",282,3,2,1440,235000
43,200 Oak Street,"Frazier Park, CA",122,2,2,1008,216500
44,21110 S. Charlene Place,"California City, CA",57,3,2,1562,225000
45,15808 Mil Potrero,"Pine Mountain Club, CA",282,2,1,974,210000
46,14700 Tumbleweed Place,"Frazier Park, CA",122,3,1.1,1440,219000
47,7108 Lakeview Drive,"Frazier Park, CA",122,2,1,896,198500
48,4400 Vista Mesa Drive,"Bakersfield, CA",24,4,3,1848,219900
49,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000
50,228 W D Street,"Tehachapi, CA",367,4,2,1421,229900
51,1942 El Rey Street,"Rosamond, CA",312,3,2,1222,216000
52,3633 Capri Court,"Rosamond, CA",312,2,2,956,230000
53,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000
54,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000
55,2737 Hempstead Lane,"Bakersfield, CA",24,3,2,1499,233000
56,7741 Columbine Avenue,"California City, CA",57,3,2,1422,195000
57,1822 Matterhorn Drive,"Pine Mountain Club, CA",282,3,2.1,1152,238000
58,8901 Eucalyptus Avenue,"California City, CA",57,3,2,1774,230000
59,2805 Klondike Way,"Pine Mountain Club, CA",282,3,2,1584,219000
60,1748 Linden Drive,"Pine Mountain Club, CA",282,4,2,1368,239900
61,6702 Windpiper Lane,"Bakersfield, CA",24,3,2,1268,234900
62,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000
63,9347 Columbine Avenue,"California City, CA",57,3,2,1877,199000
64,2317 Glacier Drive,"Frazier Park, CA",122,3,2,1290,237500
65,14228 Yellowstone Drive,"Pine Mountain Club, CA",282,2,2,949,209750
66,21451 Santa Maria Drive,"Tehachapi, CA",367,3,2,1402,239000
67,4613 Chaney Lane,"Bakersfield, CA",24,3,2,1242,200000
68,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000
69,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000
70,21040 94th Street,"California City, CA",57,4,2,1775,195000
71,1801 Poplar Way,"Pine Mountain Club, CA",282,3,2,952,199000
72,417 Washington Avenue,"Bakersfield, CA",24,5,2,1953,235000
73,1121 Dawn Street,"Bakersfield, CA",24,3,2,1527,209900
74,1416 Sweetgum Avenue,"Rosamond, CA",312,2,2,956,213900
75,2050 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1542,220000
76,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000
77,6409 Sundale Avenue,"Bakersfield, CA",24,3,2,1448,230000
78,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000
79,5495 Avenue 54,"Bakersfield, CA",24,2,1,991,219900
80,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000
81,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900
82,2213 Zermatt Drive,"Pine Mountain Club, CA",282,2,1,783,195000
83,96697 Pinon Village Road,"Inyokern, CA",156,2,1,1100,230000
84,9609 Susan Avenue,"California City, CA",57,3,2,1729,210000
85,21741 Electra Court,"California City, CA",57,3,2,1945,199950
86,2223 Bernina Drive,"Pine Mountain Club, CA",282,4,2,1632,239000
87,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000
